category,column_name,count
null_blank,CUSTOMER_ID,0
null_blank,FIRST_NAME,0
null_blank,LAST_NAME,0
null_blank,EMAIL,250
null_blank,PHONE,200
null_blank,GENDER,4161
null_blank,DOB,0
null_blank,CITY,0
null_blank,SALARY,0
duplicates,ALL_COLUMNS,0
duplicate_primary_keys,CUSTOMER_ID,0
outliers,CUSTOMER_ID,0
outliers,FIRST_NAME,0
outliers,LAST_NAME,0
outliers,EMAIL,0
outliers,PHONE,200
outliers,GENDER,0
outliers,DOB,0
outliers,CITY,0
outliers,SALARY,684
mixed_types,CUSTOMER_ID,0
mixed_types,SALARY,0
invalid_dates,JOIN_DATE,0
invalid_emails,EMAIL,250
negative_values,AGE,0
negative_values,SALARY,0
special_characters,CUSTOMER_NAME,0
missing_mandatory_columns,STRUCTURE,0
datatype_violations,CUSTOMER_ID,0
datatype_violations,EMAIL,0
datatype_violations,AGE,0
datatype_violations,SALARY,0
datatype_violations,JOIN_DATE,0
datatype_violations,COUNTRY_CODE,0
datatype_violations,STATUS,0
range_violations,AGE,0
range_violations,SALARY,0
pattern_violations,EMAIL,250
pattern_violations,COUNTRY_CODE,0
pattern_violations,STATUS,0
allowed_value_violations,STATUS,0
allowed_value_violations,COUNTRY_CODE,0
referential_integrity,REFERENCE,0
business_rule_violations,active_customer_should_have_join_date,0
