category,column_name,count
null_blank,CUSTOMER_ID,0
null_blank,CUSTOMER_NAME,1
null_blank,EMAIL,1
null_blank,PHONE,1
null_blank,COUNTRY,1
null_blank,STATE,1
null_blank,CITY,1
null_blank,POSTAL_CODE,1
null_blank,REGISTRATION_DATE,1
null_blank,LAST_PURCHASE_DATE,1
null_blank,PURCHASE_AMOUNT,1
null_blank,TOTAL_ORDERS,1
null_blank,CREDIT_SCORE,1
null_blank,ACCOUNT_STATUS,1
null_blank,IS_ACTIVE,0
null_blank,CUSTOMER_SEGMENT,0
null_blank,CREATED_DATE,0
null_blank,UPDATED_DATE,0
duplicates,ALL_COLUMNS,0
duplicate_primary_keys,CUSTOMER_ID,0
outliers,CUSTOMER_ID,0
outliers,CUSTOMER_NAME,0
outliers,EMAIL,0
outliers,PHONE,1
outliers,COUNTRY,0
outliers,STATE,0
outliers,CITY,0
outliers,POSTAL_CODE,1
outliers,REGISTRATION_DATE,0
outliers,LAST_PURCHASE_DATE,0
outliers,PURCHASE_AMOUNT,3
outliers,TOTAL_ORDERS,3
outliers,CREDIT_SCORE,1
outliers,ACCOUNT_STATUS,0
outliers,IS_ACTIVE,0
outliers,CUSTOMER_SEGMENT,0
outliers,CREATED_DATE,0
outliers,UPDATED_DATE,0
mixed_types,CUSTOMER_ID,0
invalid_dates,JOIN_DATE,0
invalid_emails,EMAIL,3
negative_values,AGE,0
negative_values,SALARY,0
special_characters,CUSTOMER_NAME,0
missing_mandatory_columns,STRUCTURE,0
datatype_violations,CUSTOMER_ID,0
datatype_violations,EMAIL,0
datatype_violations,AGE,0
datatype_violations,SALARY,0
datatype_violations,JOIN_DATE,0
datatype_violations,COUNTRY_CODE,0
datatype_violations,STATUS,0
range_violations,AGE,0
range_violations,SALARY,0
pattern_violations,EMAIL,3
pattern_violations,COUNTRY_CODE,0
pattern_violations,STATUS,0
allowed_value_violations,STATUS,0
allowed_value_violations,COUNTRY_CODE,0
referential_integrity,REFERENCE,0
business_rule_violations,active_customer_should_have_join_date,0
